trip_quarter,taxi_company,city,city_population,total_trips,unique_taxis,total_trip_seconds,avg_trip_seconds,total_trip_miles,avg_trip_miles,total_fare,avg_fare,total_tips,avg_tips,avg_pickup_latitude,avg_pickup_longitude,avg_mph_per_trip,avg_tips_per_hour,avg_fare_per_mile,avg_trip_duration_minutes,avg_total_revenue_per_trip,revenue_rank_within_city,trip_count_rank_within_city,fare_percentile_within_city,total_revenue_per_city,revenue_rank_within_company,total_revenue_per_company,revenue_contribution_percentage,trips_per_population,avg_trips_per_taxi,avg_revenue_trend
2021-04-01 00:00:00+00:00,24 Seven Taxi,Stickney,6786.0,42,7,67135,1598.452380952381,545.09,12.978333333333332,1439.75,34.279761904761905,199.01999999999998,4.7385714285714275,41.79039441266667,-87.76338839833332,28.56783794107344,11.710167526680591,2.8071284269846055,26.64087301587302,39.018333333333324,18,18,0.6956521739130435,1149099.8599999999,32,350457.11000000016,0.0016883216009717828,0.00618921308576481,6.0,64386.019955808144
2018-01-01 00:00:00+00:00,4623 - 27290 Jay Kim,Logan Square,73702.0,52,1,36480,701.5384615384613,180.60000000000002,3.4730769230769227,636.25,12.235576923076925,73.65,1.4163461538461537,41.92990611423076,-87.66154823219232,15.715924656954563,10.48673482483673,5.476249970269472,11.692307692307692,13.651923076923076,46,47,0.7142857142857143,7398045.9799999995,17,47802.75,0.00016317496712498088,0.0007055439472470218,52.0,220962.8372268906
2017-04-01 00:00:00+00:00,Gold Coast Taxi,Lincolnwood,12646.0,61,12,32160,527.2131147540982,133.99999999999997,2.196721311475409,553.25,9.069672131147538,26.35,0.4319672131147543,41.98440227293443,-87.6924553423115,11.088789053059132,2.6280431212964945,5.042538029057976,8.786885245901638,9.501639344262294,33,32,0.1864406779661017,1151145.22,48,2178320.65,9.702203672350543e-05,0.004823659655226949,5.083333333333333,22481.238134243464
2017-07-01 00:00:00+00:00,City Service,Edgewater,54873.0,23996,363,18807411,783.772753792302,86791.87000000023,3.617081475307358,310453.67000000004,12.937725870978554,23615.450000000026,0.9841411068511382,41.95691157234287,-87.66012230216846,20.194629505042563,8.29253122146054,6.06529554368571,13.062879229871635,13.921866977829668,7,7,0.6575342465753424,6249953.0,16,27186346.020000003,0.0642876054944347,0.43730067610664625,66.10468319559229,143308.1252385496
2023-07-01 00:00:00+00:00,Chicago Taxicab,McKinley Park,15612.0,894,9,979870,1096.0514541387022,3420.0399999999986,3.8255480984340027,12135.339999999998,13.574205816554812,1663.9699999999993,1.8612639821029084,41.87693450145081,-87.6414351390449,12.672136498661784,14.055716491510065,7.9018436650035655,18.26752423564506,15.435469798657703,18,18,0.4666666666666667,4640463.230000007,14,412363.0600000001,0.006872090785811095,0.057263643351268254,99.33333333333333,210824.27353260867
2016-10-01 00:00:00+00:00,Taxi Affiliation Services,Englewood,26121.0,4736,471,4772280,1007.6604729729727,14401.900000000025,3.04094172297297,81828.17,17.277907516891904,4484.760000000001,0.9469510135135148,41.80053525503528,-87.61503665335937,10.111399150591824,3.5079640957475853,30.736131999755486,16.79434121621622,18.224858530405367,1,1,0.5714285714285714,342345.83999999997,41,76344142.2,0.013579875801432646,0.18131005704222655,10.0552016985138,9382.338618677042
2015-01-01 00:00:00+00:00,3141 - 87803 Zip Cab,Belmont Cragin,79159.0,3,1,1620,540.0,12.7,4.233333333333333,33.949999999999996,11.316666666666666,0.0,0.0,41.95841108333333,-87.72282128100001,27.430303030303033,0.0,2.907738095238095,9.0,11.316666666666666,35,26,0.5098039215686274,748188.2899999997,35,39040.850000000006,8.026987081438154e-06,3.7898407003625615e-05,3.0,20460.522388059697
2019-07-01 00:00:00+00:00,City Service,Douglas,20323.0,74602,316,56054915,751.3862228894645,214821.78999999992,2.8795714592102146,852318.8499999999,11.42487935980269,115971.4600000002,1.5545355352403432,41.87691505566817,-87.63250039315605,11.720261556010092,11.869505145967574,6.370014760681138,12.523103714824419,12.979414895043021,6,6,0.6122448979591837,13256917.040000003,10,21582350.19,0.2702000590170044,3.6708163164887075,236.08227848101265,300799.32782838284
2023-01-01 00:00:00+00:00,Star North Taxi Management Llc,Portage Park,64841.0,330,60,327209,991.5424242424245,970.6200000000002,2.9412727272727275,3996.7200000000003,12.111272727272727,330.7099999999999,1.0021515151515146,41.959406105478784,-87.73598781724854,8.960943683254827,4.057733334815433,20.557644896613443,16.525707070707067,13.113424242424253,12,10,0.3103448275862069,599559.4300000004,33,2580636.2499999995,0.002582287998748748,0.005089372464952731,5.5,18740.08443462897
2017-04-01 00:00:00+00:00,Taxi Affiliation Service Yellow,Bridgeport,33878.0,146958,348,109597191,745.7722002204711,426354.54000000004,2.9011999346752093,1806958.5100000002,12.295747832714095,194753.7499999995,1.3252340804855798,41.87684802761375,-87.63239808876206,12.275639774793307,7.891557579692758,7.391186959350232,12.42953667034125,13.620981913199659,5,5,0.7945205479452054,27804797.670000013,8,35266370.76999999,0.33507626017876396,4.337859377767282,422.2931034482759,381519.63946301915
2015-01-01 00:00:00+00:00,Checker Taxi,West Elsdon,19219.0,2630,72,3793949,1442.5661596958169,28962.39999999993,11.012319391634962,65188.359999999964,24.786448669201533,8390.609999999993,3.190346007604561,41.78988306801256,-87.75282420915636,127.38343248664599,9.645333958528685,2.652094608631377,24.04276932826365,27.976794676806076,7,7,0.3333333333333333,2743293.7500000014,19,8761204.969999997,0.017396684584846073,0.1368437483740049,36.52777777777778,65261.898792134954
